"","subject","question","sheet","order","rating","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","sentence","type","guise"
"6756","1","36","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","All windows have curtains.","FA","Human"
"6757","1","37","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All judges carry purses.","FA","Human"
"6758","1","38","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","All pizzas have meat.","FA","Human"
"6759","1","39","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All textbooks have equations.","FA","Human"
"6760","1","40","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All bottles are glass.","FA","Human"
"6761","1","41","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some people have noses with two nostrils.","UI","Furhat"
"6762","1","42","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some dogs are mammals with four legs.","UI","Furhat"
"6763","1","43","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some doctors attended college to obtain a degree.","UI","Furhat"
"6764","1","44","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some televisions have screens on them.","UI","Furhat"
"6765","1","45","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","Some mothers have children.","UI","Furhat"
"6766","1","46","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some tables have legs to support them.","UI","Furhat"
"6767","1","47","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some fire is hot to the touch.","UI","Furhat"
"6768","1","48","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some eyes have pupils.","UI","Furhat"
"6769","1","49","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","Some apples have cores.","UI","Furhat"
"6770","1","50","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some children are under eighteen.","UI","Furhat"
"6771","1","51","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some people have dogs as pets in the house.","TS","Furhat"
"6772","1","52","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some cookies are chocolate flavored with chocolate chips.","TS","Furhat"
"6773","1","53","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some shoes have high heels.","TS","Furhat"
"6774","1","54","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some women wear lipstick as makeup.","TS","Furhat"
"6775","1","55","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some students are failing the algebra class.","TS","Furhat"
"6776","1","56","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some plants grow flowers.","TS","Furhat"
"6777","1","57","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some planets have rings around them.","TS","Furhat"
"6778","1","58","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some hair is brown.","TS","Furhat"
"6779","1","59","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some food is spicy.","TS","Furhat"
"6780","1","60","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some lawyers drive fast cars.","TS","Furhat"
"6781","1","61","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All blue jays are birds.","TA","Furhat"
"6782","1","62","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All horses have hooves.","TA","Furhat"
"6783","1","63","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All hammers have handles.","TA","Furhat"
"6784","1","64","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All airplanes have wings.","TA","Furhat"
"6785","1","65","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All snow is cold.","TA","Furhat"
"6786","1","66","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All pancakes are flat.","TA","Furhat"
"6787","1","67","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All people have necks.","TA","Furhat"
"6788","1","68","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All telephones make calls.","TA","Furhat"
"6789","1","69","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All dressers have drawers.","TA","Furhat"
"6790","1","70","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All hearts have aortas.","TA","Furhat"
"6791","1","71","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All women are doctors.","FA","Furhat"
"6792","1","72","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All rabbits are white.","FA","Furhat"
"6793","1","73","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All restaurants serve cakes.","FA","Furhat"
"6794","1","74","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All ears are small.","FA","Furhat"
"6795","1","75","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All businessmen own banks.","FA","Furhat"
"6796","1","76","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","All politicians are liberal.","FA","Furhat"
"6797","1","77","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All cheese has holes.","FA","Furhat"
"6798","1","78","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All mathematicians are Ukrainian.","FA","Furhat"
"6799","1","79","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","All sisters play tennis.","FA","Furhat"
"6800","1","80","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All hunters eat lasagna.","FA","Furhat"
"6801","1","81","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","Some cats are mammals.","UI","Cylinder"
"6802","1","82","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some frogs are amphibians.","UI","Cylinder"
"6804","1","84","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some spoons are eating utensils.","UI","Cylinder"
"6805","1","85","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","Some sailboats have sails.","UI","Cylinder"
"6807","1","87","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some firemen extinguish fires.","UI","Cylinder"
"6808","1","88","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","Some cars have wheels.","UI","Cylinder"
"6810","1","90","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","Some triangles have three sides.","UI","Cylinder"
"6812","1","92","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some women wear dresses.","TS","Cylinder"
"6813","1","93","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some runners use treadmills.","TS","Cylinder"
"6814","1","94","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some farmers raise cows.","TS","Cylinder"
"6815","1","95","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some trees grow fruit.","TS","Cylinder"
"6816","1","96","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some gardens grow vegetables.","TS","Cylinder"
"6817","1","97","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some insects have wings.","TS","Cylinder"
"6818","1","98","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some schools are private.","TS","Cylinder"
"6819","1","99","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","Some artists make sculptures.","TS","Cylinder"
"6820","1","100","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","Some men wear suits.","TS","Cylinder"
"6821","1","101","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All unicycles have one wheel.","TA","Cylinder"
"6822","1","102","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All bears have fur.","TA","Cylinder"
"6823","1","103","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All nuts contain protein.","TA","Cylinder"
"6824","1","104","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All mountains have peaks.","TA","Cylinder"
"6825","1","105","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All lobsters are crustaceans.","TA","Cylinder"
"6826","1","106","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All bars serve alcohol.","TA","Cylinder"
"6827","1","107","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All toothpastes clean teeth.","TA","Cylinder"
"6828","1","108","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All raccoons are nocturnal.","TA","Cylinder"
"6829","1","109","4","Cylinder_Furhat_Human",5,"19","female","English","None","English","19","PC","head empty","All skyscrapers are tall.","TA","Cylinder"
"6830","1","110","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All lifeguards know CPR.","TA","Cylinder"
"6831","1","111","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All insects are harmful.","FA","Cylinder"
"6832","1","112","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All athletes are runners.","FA","Cylinder"
"6833","1","113","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All houses have garages.","FA","Cylinder"
"6834","1","114","4","Cylinder_Furhat_Human",3,"19","female","English","None","English","19","PC","head empty","All shoes have laces.","FA","Cylinder"
"6835","1","115","4","Cylinder_Furhat_Human",4,"19","female","English","None","English","19","PC","head empty","All bands have saxophonists.","FA","Cylinder"
"6837","1","117","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All kids like asparagus.","FA","Cylinder"
"6838","1","118","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All boxes are large.","FA","Cylinder"
"6839","1","119","4","Cylinder_Furhat_Human",1,"19","female","English","None","English","19","PC","head empty","All people are retired.","FA","Cylinder"
"6840","1","120","4","Cylinder_Furhat_Human",2,"19","female","English","None","English","19","PC","head empty","All fishermen catch sharks.","FA","Cylinder"
"2281","2","1","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some rain is wet and falls from the sky.","UI","Human"
"2282","2","2","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some baseballs are round and can be thrown.","UI","Human"
"2283","2","3","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some wine is liquid and can be drunk.","UI","Human"
"2284","2","4","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some books have pages in them.","UI","Human"
"2285","2","5","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some toast is bread that is heated.","UI","Human"
"2286","2","6","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some chickens have feathers on their bodies.","UI","Human"
"2287","2","7","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some colleges have students that attend class.","UI","Human"
"2288","2","8","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some food is edible.","UI","Human"
"2289","2","9","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some restaurants serve food to their customers.","UI","Human"
"2290","2","10","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some helicopters have propellers.","UI","Human"
"2291","2","11","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some restaurants serve pizza.","TS","Human"
"2292","2","12","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","Some clothes are expensive.","TS","Human"
"2293","2","13","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some houses are blue.","TS","Human"
"2294","2","14","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","Some men carry briefcases.","TS","Human"
"2295","2","15","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some singers are popular.","TS","Human"
"2296","2","16","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some Europeans have motorcycles.","TS","Human"
"2297","2","17","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some beaches are public.","TS","Human"
"2298","2","18","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some foods are allergens.","TS","Human"
"2299","2","19","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","Some birds can fly.","TS","Human"
"2301","2","21","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","All pumpkins have seeds.","TA","Human"
"2302","2","22","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All atoms are small.","TA","Human"
"2303","2","23","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All elephants have trunks.","TA","Human"
"2304","2","24","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All watermelons are red inside.","TA","Human"
"2305","2","25","2","Furhat_Human_Cylinder",3,"20","male","English","None","English","19","Mac","cool","All chameleons have skin that changes color.","TA","Human"
"2306","2","26","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All colleges have requirements for admission.","TA","Human"
"2307","2","27","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","All dentists recommend cleaning your teeth.","TA","Human"
"2308","2","28","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All chocolate is candy.","TA","Human"
"2309","2","29","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","All houses have rooms.","TA","Human"
"2310","2","30","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All apes have opposable thumbs.","TA","Human"
"2311","2","31","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All families have twins.","FA","Human"
"2312","2","32","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All animals are domesticated.","FA","Human"
"2313","2","33","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All magazines have gossip.","FA","Human"
"2314","2","34","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All shirts have long sleeves.","FA","Human"
"2315","2","35","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All bands play jazz.","FA","Human"
"2316","2","36","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All windows have curtains.","FA","Human"
"2317","2","37","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All judges carry purses.","FA","Human"
"2318","2","38","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All pizzas have meat.","FA","Human"
"2319","2","39","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All textbooks have equations.","FA","Human"
"2320","2","40","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All bottles are glass.","FA","Human"
"2321","2","41","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some cats are mammals.","UI","Furhat"
"2322","2","42","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some frogs are amphibians.","UI","Furhat"
"2324","2","44","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some spoons are eating utensils.","UI","Furhat"
"2325","2","45","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some sailboats have sails.","UI","Furhat"
"2327","2","47","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some firemen extinguish fires.","UI","Furhat"
"2328","2","48","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some cars have wheels.","UI","Furhat"
"2330","2","50","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some triangles have three sides.","UI","Furhat"
"2332","2","52","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some women wear dresses.","TS","Furhat"
"2333","2","53","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some runners use treadmills.","TS","Furhat"
"2334","2","54","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some farmers raise cows.","TS","Furhat"
"2335","2","55","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some trees grow fruit.","TS","Furhat"
"2336","2","56","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some gardens grow vegetables.","TS","Furhat"
"2337","2","57","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","Some insects have wings.","TS","Furhat"
"2338","2","58","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some schools are private.","TS","Furhat"
"2339","2","59","2","Furhat_Human_Cylinder",3,"20","male","English","None","English","19","Mac","cool","Some artists make sculptures.","TS","Furhat"
"2340","2","60","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some men wear suits.","TS","Furhat"
"2341","2","61","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All unicycles have one wheel.","TA","Furhat"
"2342","2","62","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All bears have fur.","TA","Furhat"
"2343","2","63","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All nuts contain protein.","TA","Furhat"
"2344","2","64","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All mountains have peaks.","TA","Furhat"
"2345","2","65","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All lobsters are crustaceans.","TA","Furhat"
"2346","2","66","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All bars serve alcohol.","TA","Furhat"
"2347","2","67","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All toothpastes clean teeth.","TA","Furhat"
"2348","2","68","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","All raccoons are nocturnal.","TA","Furhat"
"2349","2","69","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All skyscrapers are tall.","TA","Furhat"
"2350","2","70","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","All lifeguards know CPR.","TA","Furhat"
"2351","2","71","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All insects are harmful.","FA","Furhat"
"2352","2","72","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All athletes are runners.","FA","Furhat"
"2353","2","73","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All houses have garages.","FA","Furhat"
"2354","2","74","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All shoes have laces.","FA","Furhat"
"2355","2","75","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All bands have saxophonists.","FA","Furhat"
"2357","2","77","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All kids like asparagus.","FA","Furhat"
"2358","2","78","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","All boxes are large.","FA","Furhat"
"2359","2","79","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All people are retired.","FA","Furhat"
"2360","2","80","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","All fishermen catch sharks.","FA","Furhat"
"2361","2","81","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some people have noses with two nostrils.","UI","Cylinder"
"2362","2","82","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some dogs are mammals with four legs.","UI","Cylinder"
"2363","2","83","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some doctors attended college to obtain a degree.","UI","Cylinder"
"2364","2","84","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some televisions have screens on them.","UI","Cylinder"
"2365","2","85","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some mothers have children.","UI","Cylinder"
"2366","2","86","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some tables have legs to support them.","UI","Cylinder"
"2367","2","87","2","Furhat_Human_Cylinder",3,"20","male","English","None","English","19","Mac","cool","Some fire is hot to the touch.","UI","Cylinder"
"2368","2","88","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some eyes have pupils.","UI","Cylinder"
"2369","2","89","2","Furhat_Human_Cylinder",1,"20","male","English","None","English","19","Mac","cool","Some apples have cores.","UI","Cylinder"
"2370","2","90","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some children are under eighteen.","UI","Cylinder"
"2371","2","91","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","Some people have dogs as pets in the house.","TS","Cylinder"
"2372","2","92","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some cookies are chocolate flavored with chocolate chips.","TS","Cylinder"
"2373","2","93","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some shoes have high heels.","TS","Cylinder"
"2374","2","94","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","Some women wear lipstick as makeup.","TS","Cylinder"
"2375","2","95","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some students are failing the algebra class.","TS","Cylinder"
"2376","2","96","2","Furhat_Human_Cylinder",3,"20","male","English","None","English","19","Mac","cool","Some plants grow flowers.","TS","Cylinder"
"2377","2","97","2","Furhat_Human_Cylinder",4,"20","male","English","None","English","19","Mac","cool","Some planets have rings around them.","TS","Cylinder"
"2378","2","98","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","Some hair is brown.","TS","Cylinder"
"2379","2","99","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some food is spicy.","TS","Cylinder"
"2380","2","100","2","Furhat_Human_Cylinder",2,"20","male","English","None","English","19","Mac","cool","Some lawyers drive fast cars.","TS","Cylinder"
"2381","2","101","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All blue jays are birds.","TA","Cylinder"
"2382","2","102","2","Furhat_Human_Cylinder",5,"20","male","English","None","English","19","Mac","cool","All horses have hooves.","TA","Cylinder"
"2383","2","103","2","Furhat_Human_Cylinder",3,"20","male","English","None","English","19","Mac","cool","All hammers have handles.","TA","Cylinder"
